layer_index,module_name,sensitivity_value,source_metric,source_step,source_tag,source_event_file
5,proj,9.111013277163238e-09,final_adam_exp_avg_sq_mean,99,blocks.5.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
5,qkv,1.821442996430278e-09,final_adam_exp_avg_sq_mean,99,blocks.5.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,fc1,4.064918679436147e-10,final_adam_exp_avg_sq_mean,99,blocks.6.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,fc2,5.079307530131416e-10,final_adam_exp_avg_sq_mean,99,blocks.6.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,post-GELU,0.0038168171886354685,final_adam_exp_avg_sq_mean,99,blocks.6.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,post-softmax,2.721600367294741e-07,final_adam_exp_avg_sq_mean,99,blocks.6.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,proj,7.649517463903521e-09,final_adam_exp_avg_sq_mean,99,blocks.6.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
6,qkv,1.3717182945072182e-09,final_adam_exp_avg_sq_mean,99,blocks.6.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,fc1,3.3170335922427796e-10,final_adam_exp_avg_sq_mean,99,blocks.7.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,fc2,2.408822030730562e-10,final_adam_exp_avg_sq_mean,99,blocks.7.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,post-GELU,0.0017656133277341723,final_adam_exp_avg_sq_mean,99,blocks.7.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,post-softmax,2.1476728306879522e-07,final_adam_exp_avg_sq_mean,99,blocks.7.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,proj,4.8826067633456205e-09,final_adam_exp_avg_sq_mean,99,blocks.7.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
7,qkv,1.031505103554764e-09,final_adam_exp_avg_sq_mean,99,blocks.7.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,fc1,2.8434651855313575e-10,final_adam_exp_avg_sq_mean,99,blocks.8.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,fc2,1.281610234604713e-10,final_adam_exp_avg_sq_mean,99,blocks.8.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,post-GELU,0.002133498666808009,final_adam_exp_avg_sq_mean,99,blocks.8.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,post-softmax,2.444264453060896e-07,final_adam_exp_avg_sq_mean,99,blocks.8.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,proj,3.731409847773648e-09,final_adam_exp_avg_sq_mean,99,blocks.8.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
8,qkv,8.108801408113209e-10,final_adam_exp_avg_sq_mean,99,blocks.8.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,fc1,1.3620266026137529e-10,final_adam_exp_avg_sq_mean,99,blocks.9.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,fc2,3.522894823082545e-11,final_adam_exp_avg_sq_mean,99,blocks.9.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,post-GELU,0.006399983540177345,final_adam_exp_avg_sq_mean,99,blocks.9.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,post-softmax,1.341345523542259e-07,final_adam_exp_avg_sq_mean,99,blocks.9.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,proj,2.482624106292519e-09,final_adam_exp_avg_sq_mean,99,blocks.9.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
9,qkv,5.969666982963417e-10,final_adam_exp_avg_sq_mean,99,blocks.9.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,fc1,1.0951992091001728e-10,final_adam_exp_avg_sq_mean,99,blocks.10.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,fc2,1.0966894926911497e-11,final_adam_exp_avg_sq_mean,99,blocks.10.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,post-GELU,0.0035464989487081766,final_adam_exp_avg_sq_mean,99,blocks.10.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,post-softmax,1.5974238465332746e-07,final_adam_exp_avg_sq_mean,99,blocks.10.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,proj,1.1325366200409803e-09,final_adam_exp_avg_sq_mean,99,blocks.10.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
10,qkv,3.332575049252995e-10,final_adam_exp_avg_sq_mean,99,blocks.10.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,fc1,2.912046645486832e-11,final_adam_exp_avg_sq_mean,99,blocks.11.mlp.fc1.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,fc2,3.986473044031991e-12,final_adam_exp_avg_sq_mean,99,blocks.11.mlp.fc2.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,post-GELU,0.00034043999039568007,final_adam_exp_avg_sq_mean,99,blocks.11.mlp.fc2.act_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,post-softmax,5.632362487517639e-08,final_adam_exp_avg_sq_mean,99,blocks.11.attn.attn_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,proj,3.5882008475596194e-10,final_adam_exp_avg_sq_mean,99,blocks.11.attn.proj.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
11,qkv,1.424032974872702e-10,final_adam_exp_avg_sq_mean,99,blocks.11.attn.qkv.weight_quantizer,outputs_dev/vitb16/T=vtab_Q=3bit_L=lora_2_qkv-fc1-proj-fc2/cifar/20260114184203_default_acc=53.50/tensorboard/events.out.tfevents.1768387332.master-192-168-8-48.1680.1
