tensor_type,bin_left,bin_right,density,count,in_range_count,total_sampled_count,plot_range_low,plot_range_high
ordinary,0.03782719210088015,0.054625690758225875,1.5619934549987802,7856,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.054625690758225875,0.0714241894155716,1.5916188400286706,8005,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.0714241894155716,0.08822268807291733,1.5721336874586758,7907,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.08822268807291733,0.10502118673026306,1.5194442442847096,7642,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.10502118673026306,0.12181968538760879,1.4607899584872759,7347,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.12181968538760879,0.13861818404495452,1.3906036436178042,6994,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.13861818404495452,0.15541668270230025,1.3538204474397524,6809,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.15541668270230025,0.17221518135964597,1.2822423359581383,6449,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.17221518135964597,0.1890136800169917,1.2263716433849894,6168,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.1890136800169917,0.20581217867433743,1.1345130669835846,5706,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.20581217867433743,0.22261067733168316,1.0732740160493146,5398,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.22261067733168316,0.2394091759890289,0.9999064517806602,5029,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.2394091759890289,0.2562076746463746,0.9505970860933258,4781,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.2562076746463746,0.27300617330372035,0.8818025678359968,4435,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.27300617330372035,0.2898046719610661,0.8374639043348858,4212,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.2898046719610661,0.3066031706184118,0.7320850179869538,3682,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.3066031706184118,0.32340166927575753,0.6833721365619664,3437,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.32340166927575753,0.34020016793310326,0.6185541800536157,3111,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.34020016793310326,0.356998666590449,0.576402625514443,2899,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.356998666590449,0.3737971652477947,0.5161577150174177,2596,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.3737971652477947,0.39059566390514044,0.47241553577865353,2376,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.39059566390514044,0.4073941625624862,0.42986632506458283,2162,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.4073941625624862,0.4241926612198319,0.387913598612859,1951,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.4241926612198319,0.44099115987717763,0.34238196658705444,1722,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.44099115987717763,0.45778965853452336,0.324089782541753,1630,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.45778965853452336,0.4745881571918691,0.26702612144391064,1343,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.4745881571918691,0.4913866558492148,0.2419737824253457,1217,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.4913866558492148,0.5081851545065605,0.2232839422051464,1123,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.5081851545065605,0.5249836531639063,0.19862925936147932,999,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.5249836531639063,0.541782151821252,0.18391598089025862,925,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.541782151821252,0.5585806504785977,0.15329645542312367,771,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.5585806504785977,0.5753791491359435,0.13043122536649693,656,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.5753791491359435,0.5921776477932892,0.11929685246935694,600,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.5921776477932892,0.6089761464506349,0.09623279432528127,484,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.6089761464506349,0.6257746451079806,0.09006912361436449,453,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.6257746451079806,0.6425731437653264,0.08231482820385629,414,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.6425731437653264,0.6593716424226723,0.07396404853100033,372,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.6593716424226723,0.676170141080018,0.06541444077069739,329,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.676170141080018,0.6929686397373638,0.05268944317396599,265,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.6929686397373638,0.7097671383947095,0.04235038262662172,213,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.7097671383947095,0.7265656370520552,0.04235038262662172,213,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.7265656370520552,0.743364135709401,0.03081835355458388,155,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.743364135709401,0.7601626343667467,0.026245307543258527,132,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.7601626343667467,0.7769611330240924,0.0260464794558096,131,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.7769611330240924,0.7937596316814381,0.02385937049387139,120,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.7937596316814381,0.8105581303387839,0.018292184045301398,92,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8105581303387839,0.8273566289961296,0.01352030994652712,68,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8273566289961296,0.8441551276534753,0.015110934646118547,76,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8441551276534753,0.8609536263108211,0.012327341421833551,62,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8609536263108211,0.8777521249681668,0.010736716722242126,54,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8777521249681668,0.8945506236255125,0.010935544809691054,55,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.8945506236255125,0.9113491222828582,0.0075554673230592735,38,299400,300000,-0.953284228682518,1.0625356101989698
ordinary,0.9113491222828582,0.928147620940204,0.00894726393520177,45,299400,300000,-0.953284228682518,1.0625356101989698
